	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
100363_at	25.41000	23.32000	21.90000	24.88000	19.49000	9.75000	8.93000	35.16000	24.44000	21.31000	9.96000	42.67000	23.52000	24.97000	20.54000	18.70000	9.73000	18.62000	23.62000	14.41000	42.66000	40.57000	32.75000	32.10000	33.36000	34.97000	
100364_at	23.44000	7.87000	5.71000	15.25000	19.66000	8.45000	19.15000	10.66000	10.32000	11.72000	18.88000	NaN	NaN	1.99000	16.13000	10.26000	12.49000	15.08000	1.74000	12.72000	36.50000	42.19000	15.94000	23.43000	40.18000	40.55000	
100365_at	51.84000	43.93000	39.67000	34.62000	39.07000	45.50000	43.70000	52.16000	36.60000	34.07000	63.64000	67.46000	49.88000	70.69000	111.27000	131.17000	98.19000	81.26000	123.78000	107.48000	77.25000	70.66000	75.40000	55.84000	65.05000	55.63000	
100366_at	45.46000	19.10000	40.21000	28.04000	24.10000	25.01000	38.01000	33.49000	26.67000	39.21000	41.08000	21.53000	25.97000	34.94000	83.89000	80.76000	62.09000	49.86000	63.78000	64.56000	61.64000	51.95000	46.33000	46.27000	52.47000	47.56000	
100367_g_at	110.97000	113.93000	160.68000	153.56000	144.61000	161.03000	146.69000	102.35000	95.79000	106.56000	145.85000	89.00000	114.03000	141.59000	173.90000	157.65000	126.86000	147.02000	158.34000	105.93000	151.30000	131.23000	157.19000	133.74000	93.54000	94.99000	
100368_at	18.64000	21.71000	7.33000	8.55000	15.46000	15.41000	15.65000	9.89000	15.48000	7.66000	7.51000	26.59000	NaN	11.41000	41.50000	44.03000	31.35000	49.64000	55.54000	39.12000	33.79000	27.37000	31.51000	14.41000	45.01000	32.85000	
100369_at	NaN	NaN	NaN	NaN	4.03000	NaN	NaN	38.21000	NaN	NaN	NaN	NaN	NaN	NaN	201.48000	178.55000	196.41000	118.81000	228.73000	163.08000	120.01000	101.72000	132.81000	90.24000	134.39000	146.44000	
100370_at	61.39000	33.08000	60.24000	86.73000	58.16000	63.01000	57.06000	71.34000	67.98000	28.33000	91.30000	62.94000	67.75000	90.89000	134.71000	114.59000	148.61000	136.39000	156.45000	146.98000	158.48000	129.05000	124.06000	100.12000	141.43000	150.48000	
100371_at	19.03000	22.46000	10.93000	24.17000	16.45000	7.94000	13.46000	5.18000	26.87000	17.06000	26.93000	9.17000	2.90000	11.32000	42.33000	38.71000	41.55000	33.23000	5.48000	24.17000	40.74000	38.36000	37.11000	40.49000	42.75000	39.63000	
100372_at	39.87000	33.27000	46.72000	24.84000	25.25000	41.33000	50.18000	26.54000	35.11000	20.62000	32.85000	NaN	41.17000	28.32000	37.95000	48.82000	49.65000	55.51000	38.13000	35.95000	161.54000	127.37000	79.20000	97.97000	103.68000	107.29000	
100373_at	9.54000	20.90000	9.94000	29.31000	26.32000	6.28000	12.67000	NaN	3.60000	9.99000	3.18000	43.87000	21.00000	10.87000	4.73000	NaN	6.93000	17.45000	NaN	NaN	2.74000	16.72000	NaN	17.14000	9.54000	14.58000	
100374_at	16.66000	8.44000	11.18000	28.00000	18.01000	6.43000	3.02000	9.74000	27.45000	25.61000	15.60000	39.75000	3.21000	12.23000	22.22000	9.95000	10.62000	16.06000	16.31000	9.46000	10.17000	6.76000	21.54000	8.51000	13.15000	9.45000	
100375_i_at	19.01000	4.74000	NaN	7.93000	5.90000	1.28000	1.67000	7.27000	NaN	9.31000	NaN	32.24000	18.46000	10.67000	NaN	NaN	2.18000	3.42000	4.98000	4.50000	NaN	4.00000	2.08000	NaN	4.43000	2.70000	
100376_f_at	12.93000	29.19000	0.25000	7.25000	15.05000	13.07000	11.84000	7.71000	10.22000	20.12000	1.55000	0.33000	NaN	3.38000	0.05000	NaN	NaN	0.19000	4.18000	4.46000	1.59000	7.60000	0.44000	6.91000	11.84000	7.59000	
100377_f_at	25.81000	5.54000	NaN	24.17000	18.26000	NaN	NaN	8.12000	5.26000	NaN	NaN	28.71000	22.07000	16.13000	5.52000	2.88000	6.42000	2.18000	NaN	13.02000	7.36000	8.19000	15.29000	5.47000	14.83000	8.97000	
100378_at	16.38000	7.68000	18.86000	14.43000	NaN	14.47000	20.98000	24.41000	5.22000	6.58000	23.11000	6.11000	7.10000	16.34000	6.38000	6.45000	7.21000	29.82000	17.41000	2.04000	18.49000	16.72000	9.56000	24.41000	16.38000	15.58000	
100379_f_at	5890.71000	5944.26000	5551.78000	6728.76000	9195.54000	4876.84000	5897.25000	6036.22000	6163.66000	6730.80000	6175.10000	6254.78000	7927.95000	5487.31000	1926.11000	1839.68000	2776.26000	2699.61000	1959.06000	2103.43000	2417.90000	2395.55000	2369.66000	2604.43000	2266.46000	2211.40000	
100380_at	608.80000	380.33000	764.06000	507.69000	411.94000	787.62000	756.84000	389.44000	564.06000	331.88000	460.75000	253.50000	473.93000	671.61000	545.13000	561.21000	668.19000	514.85000	429.98000	599.42000	667.51000	678.52000	515.96000	559.76000	506.89000	485.60000	
100381_at	125.71000	84.97000	94.59000	101.34000	85.55000	109.87000	112.49000	95.50000	122.92000	81.59000	66.15000	87.07000	120.07000	130.81000	70.54000	69.36000	74.29000	63.21000	58.76000	60.20000	397.75000	66.73000	77.83000	58.46000	50.52000	42.69000	
100382_at	1.69000	2.18000	NaN	2.05000	2.47000	7.24000	NaN	7.61000	5.65000	NaN	3.32000	6.78000	NaN	15.82000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.86000	4.58000	NaN	4.54000	5.63000	
100383_at	16.43000	NaN	4.48000	19.04000	20.32000	0.74000	NaN	NaN	13.66000	NaN	13.83000	NaN	14.05000	NaN	444.84000	403.84000	502.31000	190.51000	402.30000	473.16000	154.33000	119.59000	81.51000	58.69000	178.71000	176.54000	
100384_at	17.06000	46.21000	3.25000	32.58000	6.75000	15.49000	33.37000	32.47000	39.14000	45.14000	27.34000	54.30000	39.56000	6.04000	15.45000	19.84000	39.24000	49.23000	42.07000	29.10000	55.38000	81.98000	105.17000	63.88000	64.05000	61.39000	
100385_at	72.17000	46.30000	79.20000	84.12000	60.38000	63.95000	77.90000	37.65000	48.77000	76.59000	83.07000	71.52000	73.63000	60.15000	93.63000	98.03000	75.16000	99.47000	73.21000	64.54000	93.26000	108.51000	102.77000	97.93000	97.75000	68.68000	
100386_at	22.42000	24.41000	16.27000	24.92000	17.69000	34.73000	28.70000	43.84000	14.02000	35.06000	12.97000	49.98000	0.46000	10.75000	254.27000	226.04000	196.13000	149.99000	204.47000	224.17000	251.53000	224.01000	193.74000	195.75000	230.43000	244.92000	
100387_f_at	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.73000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
100388_at	NaN	19.76000	24.16000	14.10000	19.91000	17.68000	27.98000	42.22000	16.58000	32.14000	11.83000	28.11000	40.25000	26.42000	193.43000	181.32000	170.99000	106.54000	178.33000	162.21000	173.18000	155.40000	114.54000	90.75000	156.82000	166.33000	
100389_at	130.85000	92.08000	87.21000	112.61000	163.53000	106.90000	109.60000	108.84000	104.91000	99.49000	119.19000	115.78000	106.63000	124.77000	118.21000	132.06000	111.15000	148.22000	103.96000	113.89000	113.92000	126.03000	89.41000	110.00000	88.36000	86.83000	
100390_s_at	11.46000	15.73000	16.95000	14.10000	51.08000	13.02000	9.22000	23.34000	8.44000	27.34000	NaN	48.19000	30.02000	2.51000	38.77000	23.39000	15.59000	51.69000	4.06000	8.96000	28.19000	30.44000	12.52000	38.15000	16.16000	15.42000	
100391_at	24.00000	24.50000	14.87000	31.13000	18.51000	8.09000	14.41000	13.09000	30.21000	32.29000	16.29000	31.30000	19.32000	3.47000	18.32000	22.08000	22.43000	31.71000	26.11000	23.00000	29.48000	30.39000	23.63000	24.01000	38.59000	22.21000	
100392_at	83.98000	42.32000	103.26000	99.74000	112.28000	101.62000	96.05000	64.49000	82.00000	61.96000	120.92000	98.83000	85.54000	123.23000	134.79000	124.77000	84.10000	106.19000	95.49000	83.85000	127.10000	112.96000	106.85000	72.20000	75.87000	90.39000	
100393_at	13.05000	10.47000	17.52000	15.43000	39.24000	16.75000	18.05000	37.95000	21.35000	29.07000	23.38000	48.19000	23.14000	18.96000	37.01000	40.71000	42.48000	56.45000	35.34000	32.46000	64.36000	47.48000	27.52000	50.80000	49.48000	38.54000	
100394_at	0.00000	NaN	2.49000	NaN	5.59000	NaN	NaN	10.60000	3.08000	10.58000	NaN	6.98000	NaN	NaN	7.43000	6.96000	11.27000	11.83000	NaN	8.78000	6.16000	10.87000	NaN	5.74000	6.91000	11.41000	
100395_at	68.62000	59.38000	51.82000	57.50000	51.90000	64.99000	68.90000	52.77000	54.10000	67.35000	61.01000	53.24000	61.87000	57.22000	68.19000	85.25000	72.15000	129.63000	72.19000	72.99000	72.77000	83.64000	85.40000	82.28000	76.47000	67.84000	
100396_i_at	1.13000	7.90000	NaN	NaN	10.01000	NaN	0.75000	15.22000	9.19000	NaN	9.17000	1.55000	NaN	NaN	12.52000	3.76000	9.73000	23.25000	NaN	NaN	0.29000	16.54000	4.77000	13.54000	15.83000	4.18000	
100397_at	66.70000	47.25000	61.84000	76.98000	70.91000	103.32000	80.48000	67.59000	87.52000	79.71000	74.93000	73.51000	107.69000	115.29000	86.11000	71.01000	85.26000	142.57000	129.41000	120.84000	69.46000	72.04000	81.51000	107.23000	111.32000	104.03000	
100398_at	21.07000	93.70000	79.51000	58.72000	70.25000	25.26000	24.27000	56.88000	87.23000	70.51000	42.08000	57.76000	68.97000	33.97000	186.00000	204.38000	244.80000	198.37000	203.89000	220.34000	254.80000	214.66000	238.32000	234.02000	225.85000	204.74000	
100400_at	169.99000	188.86000	238.47000	184.02000	172.08000	168.61000	159.52000	182.42000	238.84000	194.08000	182.11000	135.06000	133.21000	142.98000	132.83000	134.75000	154.44000	102.02000	93.63000	120.86000	143.07000	148.58000	88.88000	80.17000	86.01000	80.66000	
100401_at	313.32000	197.20000	330.76000	280.60000	317.92000	432.90000	454.89000	158.21000	299.97000	279.32000	242.93000	208.10000	314.91000	285.48000	164.16000	157.16000	191.44000	211.02000	150.79000	163.41000	167.62000	195.00000	153.02000	166.19000	190.12000	163.51000	
100402_f_at	13.61000	7.58000	2.49000	15.25000	25.91000	NaN	9.07000	22.33000	NaN	7.17000	15.47000	0.33000	NaN	13.59000	3.35000	NaN	2.57000	2.78000	4.00000	4.11000	3.73000	9.81000	8.90000	NaN	6.80000	11.21000	
100403_at	NaN	NaN	5.55000	27.33000	21.72000	11.45000	NaN	26.99000	14.18000	14.39000	18.33000	NaN	7.18000	27.69000	6.34000	NaN	13.35000	12.62000	2.26000	NaN	3.63000	7.73000	9.37000	0.74000	2.57000	8.68000	
100404_at	193.93000	249.52000	313.85000	325.90000	192.32000	280.12000	209.06000	222.70000	275.67000	298.16000	229.78000	323.55000	337.29000	263.92000	457.64000	291.08000	288.98000	326.67000	296.68000	252.40000	360.62000	279.40000	265.72000	302.16000	211.21000	273.82000	
100405_at	39.81000	43.55000	26.57000	44.55000	19.82000	43.31000	60.66000	39.58000	60.62000	24.18000	27.66000	37.55000	47.51000	28.29000	60.92000	57.01000	45.84000	48.50000	85.01000	127.22000	62.00000	59.71000	58.75000	50.76000	165.74000	158.59000	
100406_at	203.25000	302.51000	209.91000	180.93000	155.71000	241.46000	211.01000	210.43000	160.95000	205.15000	169.19000	168.42000	185.22000	148.66000	242.49000	292.25000	243.23000	193.25000	237.84000	207.67000	290.40000	369.22000	280.19000	315.98000	314.76000	298.22000	
100407_at	118.88000	144.78000	147.08000	118.79000	167.80000	106.41000	130.73000	88.39000	77.26000	60.72000	106.50000	85.67000	79.97000	134.29000	117.59000	115.88000	78.89000	138.31000	78.54000	76.39000	473.87000	520.95000	576.61000	577.10000	372.35000	390.59000	
100408_at	26.09000	12.84000	21.92000	10.45000	36.11000	16.11000	8.88000	12.53000	9.96000	11.82000	11.60000	5.85000	12.91000	18.30000	36.24000	33.12000	56.18000	37.49000	29.48000	39.31000	51.78000	47.42000	39.79000	20.50000	47.36000	41.98000	
100409_at	36.14000	35.17000	54.44000	36.82000	52.15000	43.09000	34.65000	44.09000	36.34000	43.41000	42.54000	71.78000	45.52000	76.10000	38.12000	55.91000	37.55000	61.00000	35.78000	21.61000	34.82000	47.33000	60.90000	44.24000	31.00000	43.87000	
100410_at	57.49000	70.76000	54.22000	37.75000	39.48000	51.01000	53.42000	42.62000	36.44000	51.37000	52.32000	42.21000	53.08000	61.36000	43.07000	46.07000	53.15000	66.68000	61.14000	66.27000	58.44000	55.13000	50.71000	38.66000	58.96000	52.73000	
100411_at	2.60000	NaN	NaN	NaN	NaN	NaN	1.41000	8.78000	6.94000	NaN	NaN	2.19000	6.72000	NaN	NaN	NaN	2.71000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.13000	0.68000	
100412_g_at	21.46000	NaN	NaN	1.12000	NaN	NaN	0.57000	3.86000	15.09000	NaN	NaN	NaN	NaN	NaN	17.87000	33.90000	27.96000	35.50000	16.83000	14.78000	49.30000	20.46000	59.34000	88.48000	94.85000	72.85000	
100413_at	291.58000	463.50000	332.05000	293.43000	253.52000	314.73000	313.90000	348.34000	350.66000	325.95000	288.33000	265.86000	271.76000	244.60000	269.05000	287.32000	273.46000	263.40000	261.28000	314.05000	272.05000	248.49000	247.38000	271.39000	262.73000	245.17000	
100414_s_at	13.55000	NaN	NaN	4.09000	17.52000	NaN	0.14000	7.36000	7.72000	NaN	NaN	NaN	NaN	8.97000	2.41000	0.81000	NaN	4.83000	5.69000	NaN	8.34000	13.91000	NaN	1.33000	18.97000	2.94000	
100415_at	18.86000	7.11000	13.09000	16.66000	16.04000	17.00000	16.08000	7.76000	16.16000	25.96000	5.50000	6.98000	24.44000	39.77000	14.84000	11.68000	11.23000	5.77000	16.92000	10.98000	14.55000	12.33000	6.54000	3.90000	4.96000	8.82000	
100416_at	NaN	1.14000	5.65000	8.29000	2.39000	13.13000	1.05000	0.56000	8.57000	13.10000	4.23000	18.81000	14.82000	16.16000	8.64000	7.15000	2.50000	11.99000	0.64000	5.63000	6.95000	4.49000	13.79000	20.07000	5.98000	9.91000	
100417_at	32.64000	24.88000	26.50000	22.98000	26.32000	26.60000	25.10000	45.16000	32.39000	17.80000	26.43000	28.18000	44.99000	25.24000	18.41000	21.62000	31.72000	30.77000	21.85000	22.36000	31.36000	27.15000	29.54000	19.29000	27.10000	24.65000	
100418_at	70.59000	39.05000	42.57000	43.07000	62.27000	30.67000	43.99000	54.45000	43.39000	44.55000	44.58000	28.58000	73.02000	57.68000	166.05000	170.85000	216.55000	146.83000	248.84000	225.13000	146.79000	109.35000	117.56000	112.58000	155.05000	171.27000	
100420_at	5.20000	NaN	12.72000	18.93000	12.09000	13.81000	7.81000	13.35000	26.22000	7.76000	9.87000	23.06000	8.86000	13.68000	34.71000	15.88000	14.42000	6.47000	10.01000	6.10000	16.78000	15.16000	3.89000	21.28000	22.58000	14.01000	
100421_at	53.93000	52.37000	99.56000	80.41000	83.16000	61.57000	64.92000	48.71000	47.93000	80.94000	68.92000	64.60000	65.08000	107.77000	102.80000	92.35000	80.99000	109.15000	85.68000	61.02000	102.11000	106.22000	99.59000	83.80000	65.64000	69.86000	
100422_i_at	19.11000	13.35000	36.69000	57.71000	42.91000	43.73000	47.04000	39.58000	11.63000	NaN	6.14000	46.19000	20.62000	43.03000	81.76000	83.84000	20.42000	80.10000	28.29000	13.10000	91.27000	68.15000	63.20000	32.67000	40.11000	59.68000	
100423_f_at	130.34000	118.34000	116.37000	142.10000	132.43000	142.43000	137.73000	113.10000	125.55000	127.08000	144.12000	152.54000	201.41000	179.85000	147.40000	162.85000	100.36000	137.08000	120.94000	96.12000	156.23000	172.71000	130.07000	145.85000	111.70000	104.51000	
100424_at	37.44000	45.35000	41.60000	48.68000	85.05000	41.22000	39.63000	53.43000	65.23000	33.97000	35.94000	94.98000	45.45000	53.30000	48.07000	54.33000	49.53000	65.26000	66.45000	35.46000	48.27000	41.02000	73.72000	72.94000	79.08000	48.81000	
100425_at	91.60000	92.75000	111.09000	111.57000	114.09000	120.07000	111.18000	86.11000	88.91000	93.95000	119.24000	159.51000	129.23000	172.70000	76.26000	84.25000	69.86000	96.28000	95.11000	58.88000	108.10000	86.64000	99.94000	87.98000	68.35000	60.20000	
100426_s_at	9.60000	NaN	NaN	NaN	NaN	NaN	NaN	6.34000	1.20000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.02000	NaN	NaN	NaN	NaN	2.77000	9.29000	NaN	NaN	
100427_at	952.33000	922.02000	717.05000	551.76000	677.47000	699.41000	739.72000	314.19000	260.55000	328.92000	283.51000	208.77000	137.10000	130.45000	154.99000	182.47000	218.09000	129.86000	145.80000	198.82000	461.16000	472.59000	472.81000	478.50000	465.18000	476.08000	
100428_at	81.94000	61.52000	72.75000	80.26000	127.75000	181.78000	113.25000	117.31000	96.31000	538.72000	656.92000	519.49000	429.63000	500.88000	44.23000	45.78000	56.79000	62.64000	56.29000	47.01000	45.28000	51.72000	29.54000	54.28000	38.52000	24.83000	
100429_at	8.25000	15.97000	15.78000	18.93000	29.86000	44.50000	45.49000	28.47000	21.35000	23.14000	20.02000	18.68000	55.60000	56.77000	62.43000	59.97000	41.94000	57.05000	69.93000	62.12000	77.97000	64.33000	54.95000	65.41000	79.99000	61.78000	
100430_at	7.74000	4.98000	2.79000	4.72000	10.12000	7.17000	11.91000	2.03000	19.57000	17.06000	9.69000	23.46000	7.10000	6.10000	9.56000	11.06000	11.48000	3.69000	5.14000	9.29000	9.65000	11.26000	22.79000	9.88000	9.08000	19.41000	
100431_at	8.58000	2.13000	1.50000	6.40000	0.90000	4.60000	4.07000	9.59000	7.66000	11.97000	9.05000	6.78000	0.53000	3.32000	1.65000	NaN	NaN	2.02000	6.73000	4.58000	6.85000	5.12000	7.00000	6.95000	6.38000	5.97000	
100432_f_at	113.34000	50.28000	72.36000	132.03000	127.99000	78.55000	72.78000	87.63000	119.22000	93.95000	123.60000	91.92000	110.14000	106.32000	58.19000	65.36000	50.67000	157.78000	84.55000	69.75000	81.82000	92.30000	103.67000	129.84000	111.85000	88.86000	
100433_r_at	54.61000	15.36000	43.88000	41.43000	40.06000	39.48000	37.80000	19.69000	29.92000	31.84000	46.40000	25.66000	17.80000	47.77000	66.93000	47.93000	59.92000	64.66000	65.11000	54.21000	87.59000	71.40000	56.32000	58.73000	56.10000	60.77000	
100434_s_at	65.12000	54.74000	57.55000	99.37000	141.73000	65.38000	70.66000	50.23000	100.17000	82.58000	93.90000	52.97000	97.84000	113.18000	61.30000	57.81000	60.64000	135.82000	124.48000	62.47000	77.49000	93.15000	124.53000	141.16000	108.66000	84.01000	
100435_at	51.05000	77.82000	37.52000	46.49000	61.36000	52.05000	49.18000	65.36000	50.17000	104.23000	90.89000	64.67000	32.23000	77.37000	96.85000	107.10000	91.26000	105.59000	155.03000	122.43000	93.75000	75.18000	140.63000	131.28000	141.92000	110.25000	
100436_at	17.34000	NaN	4.75000	6.32000	27.56000	2.09000	6.81000	15.88000	10.84000	12.56000	8.87000	12.10000	21.62000	13.29000	6.75000	10.81000	6.61000	2.34000	5.95000	NaN	9.81000	9.81000	11.77000	18.94000	3.21000	3.64000	
100437_g_at	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
100438_at	169.71000	177.96000	183.12000	188.33000	195.44000	121.83000	114.91000	184.60000	181.14000	190.37000	141.48000	182.25000	128.70000	149.51000	139.32000	178.84000	150.80000	138.79000	155.75000	139.70000	169.89000	182.75000	179.01000	177.20000	138.15000	151.91000	
100439_i_at	46.97000	82.38000	95.63000	92.54000	80.89000	86.72000	79.59000	103.43000	51.65000	134.58000	95.91000	127.17000	39.46000	101.76000	134.73000	175.61000	143.78000	116.76000	143.05000	117.81000	227.13000	205.84000	211.44000	188.08000	132.73000	162.87000	
100440_f_at	592.93000	531.89000	467.05000	504.60000	642.43000	479.04000	481.40000	570.23000	586.48000	675.64000	664.06000	888.83000	782.20000	817.95000	411.65000	411.75000	329.85000	488.21000	406.65000	330.26000	428.44000	437.98000	609.98000	712.64000	408.59000	464.64000	
100441_s_at	8.87000	21.56000	14.53000	9.33000	20.98000	18.56000	22.44000	16.14000	18.50000	23.04000	10.10000	23.93000	19.55000	19.93000	18.06000	35.48000	40.03000	51.50000	33.86000	36.38000	40.83000	47.05000	64.13000	61.62000	37.22000	38.59000	
100442_at	70.88000	48.10000	48.06000	37.34000	12.91000	63.78000	69.40000	36.58000	50.14000	30.85000	41.17000	64.54000	64.62000	51.61000	71.51000	90.45000	63.98000	66.21000	57.94000	60.78000	70.85000	77.94000	65.25000	62.59000	53.98000	63.03000	
100443_at	25.30000	25.21000	30.76000	15.25000	25.09000	21.22000	12.00000	22.83000	17.52000	20.08000	11.69000	29.38000	17.80000	8.91000	52.43000	43.34000	28.94000	21.62000	29.80000	32.29000	50.31000	50.59000	32.75000	25.42000	38.90000	40.96000	
100444_at	215.06000	496.67000	310.46000	389.68000	426.75000	273.68000	242.93000	351.08000	360.92000	367.39000	259.85000	382.04000	432.15000	298.83000	497.20000	516.42000	503.50000	548.45000	520.74000	498.93000	461.09000	483.60000	506.74000	605.72000	513.14000	518.01000	
100445_f_at	8.08000	3.32000	NaN	7.44000	NaN	NaN	NaN	2.28000	4.93000	NaN	0.23000	8.11000	9.24000	NaN	NaN	NaN	NaN	3.66000	NaN	NaN	1.71000	0.50000	NaN	NaN	NaN	1.69000	
100446_r_at	429.77000	307.67000	419.66000	488.20000	575.22000	364.82000	379.63000	376.60000	438.50000	350.58000	355.03000	437.00000	502.88000	649.69000	839.14000	834.77000	587.81000	834.99000	745.84000	573.09000	894.75000	978.50000	1025.32000	1047.09000	710.69000	780.26000	
100447_at	16.94000	NaN	8.65000	NaN	19.99000	NaN	5.50000	NaN	7.33000	25.96000	17.15000	29.71000	9.47000	6.34000	41.85000	43.59000	27.19000	11.58000	44.34000	26.99000	42.79000	44.54000	35.65000	19.52000	32.61000	53.71000	
100448_at	35.30000	14.55000	31.76000	30.12000	53.55000	55.12000	44.06000	40.04000	38.78000	31.30000	58.00000	50.91000	47.74000	75.37000	88.55000	54.74000	60.80000	76.94000	54.06000	39.71000	67.72000	55.82000	68.83000	81.92000	54.46000	50.59000	
100449_g_at	42.64000	20.14000	36.69000	47.90000	57.42000	43.88000	32.30000	44.30000	59.94000	20.42000	46.54000	60.35000	74.09000	35.18000	51.42000	27.05000	44.46000	44.65000	45.47000	35.77000	47.84000	40.65000	43.40000	64.82000	44.39000	42.76000	
100450_r_at	126.67000	106.02000	83.43000	87.29000	69.34000	105.81000	114.46000	87.94000	132.43000	113.83000	147.12000	97.50000	135.88000	130.15000	177.07000	159.28000	159.65000	183.12000	130.63000	125.13000	160.26000	155.90000	143.46000	170.49000	139.35000	119.04000	
100451_at	41.51000	75.69000	72.50000	80.44000	119.93000	52.25000	50.78000	57.85000	52.63000	86.43000	84.80000	34.69000	85.09000	64.74000	122.23000	110.46000	101.20000	102.37000	139.22000	118.68000	121.26000	106.32000	130.54000	124.02000	116.50000	121.87000	
100452_at	70.59000	27.25000	84.13000	97.03000	112.12000	68.08000	57.21000	71.60000	76.84000	69.92000	51.59000	55.17000	74.70000	85.67000	99.25000	52.06000	78.96000	105.49000	63.60000	69.35000	73.14000	120.49000	83.65000	85.13000	82.36000	78.06000	
100453_at	4061.10000	3276.96000	2407.90000	3270.53000	3417.21000	2843.97000	2557.72000	3641.11000	3204.92000	2888.76000	2999.43000	3901.80000	2981.62000	2680.90000	2205.42000	2089.49000	2280.60000	2449.74000	2246.34000	2125.44000	1147.21000	1152.12000	1209.50000	1333.94000	967.40000	1014.25000	
100454_at	113.68000	149.76000	112.59000	125.56000	145.76000	119.96000	133.13000	96.31000	103.03000	82.43000	100.63000	86.94000	116.86000	110.76000	139.69000	111.80000	122.23000	174.22000	142.90000	121.07000	115.92000	111.01000	130.35000	110.59000	108.13000	72.55000	
100455_at	1401.59000	762.21000	1326.40000	940.84000	745.00000	1368.32000	1384.74000	1142.70000	1229.03000	1036.69000	1476.69000	891.76000	892.88000	1213.53000	722.34000	808.85000	751.35000	626.40000	494.13000	562.22000	618.04000	517.22000	479.66000	448.24000	412.73000	440.56000	
100457_at	300.39000	522.93000	414.01000	341.52000	331.00000	328.24000	287.54000	471.14000	367.79000	480.03000	339.33000	433.02000	474.70000	351.40000	575.97000	629.59000	753.57000	616.59000	643.21000	650.53000	721.64000	810.96000	808.61000	712.25000	770.31000	777.71000	
100458_at	536.51000	285.59000	438.11000	306.71000	287.24000	503.83000	450.92000	292.53000	336.38000	313.24000	356.57000	216.48000	312.85000	376.47000	476.99000	551.20000	588.18000	439.27000	424.38000	498.98000	348.55000	383.26000	401.73000	299.66000	293.46000	296.42000	
100459_at	98.66000	88.29000	106.57000	104.24000	122.81000	81.32000	72.54000	94.73000	125.19000	98.79000	88.80000	97.97000	115.94000	87.06000	82.78000	67.98000	82.18000	110.64000	56.49000	70.17000	61.37000	62.34000	60.52000	68.37000	75.85000	72.48000	
100460_at	43.77000	88.96000	43.93000	65.12000	20.56000	45.33000	40.54000	68.20000	29.21000	57.36000	29.25000	38.08000	40.56000	38.80000	118.39000	121.61000	131.90000	102.02000	84.75000	104.95000	132.27000	118.49000	99.97000	114.14000	104.88000	106.10000	
100461_at	145.37000	127.39000	155.22000	184.09000	105.78000	206.96000	202.13000	111.78000	169.10000	172.32000	83.98000	116.91000	117.09000	156.39000	208.92000	202.17000	196.64000	251.32000	174.18000	178.90000	176.31000	207.51000	190.90000	178.61000	189.36000	192.32000	
100462_at	9.43000	1.37000	7.87000	7.33000	7.65000	5.62000	8.12000	18.42000	9.57000	18.30000	6.51000	16.82000	23.14000	5.98000	21.91000	8.81000	4.78000	13.03000	8.07000	3.50000	2.53000	8.21000	15.22000	15.03000	13.11000	11.07000	
100463_at	2.60000	NaN	NaN	NaN	NaN	NaN	0.17000	13.35000	5.48000	NaN	13.19000	7.05000	0.23000	9.60000	NaN	2.06000	2.94000	NaN	NaN	2.53000	NaN	NaN	6.94000	5.94000	2.24000	1.64000	
100464_at	205.79000	395.68000	343.99000	374.88000	319.98000	281.55000	256.53000	332.36000	301.14000	362.44000	332.01000	421.19000	223.41000	225.54000	221.86000	259.18000	262.88000	219.41000	226.61000	244.93000	299.25000	320.90000	308.87000	316.68000	299.82000	279.70000	
100465_i_at	154.83000	191.54000	166.74000	220.11000	274.88000	210.58000	215.74000	221.57000	187.56000	245.17000	133.82000	163.95000	196.68000	192.91000	418.52000	356.49000	311.98000	342.81000	266.94000	318.11000	473.88000	772.14000	801.56000	812.73000	664.86000	618.33000	
100466_f_at	424.18000	452.31000	388.94000	462.46000	509.50000	427.75000	449.58000	393.96000	342.42000	435.57000	340.24000	453.29000	507.62000	493.30000	770.93000	679.77000	617.71000	584.65000	634.28000	592.92000	1106.96000	968.16000	1150.19000	1098.24000	920.56000	1022.51000	
100467_at	14.85000	17.49000	14.98000	4.76000	7.98000	18.66000	18.82000	18.42000	0.16000	9.49000	18.20000	7.44000	42.09000	19.05000	21.36000	70.31000	40.22000	32.76000	29.16000	37.83000	33.64000	36.59000	32.22000	42.09000	27.67000	30.87000	
100468_g_at	21.29000	21.33000	16.81000	21.91000	9.21000	21.94000	25.25000	8.07000	21.35000	33.28000	16.60000	36.22000	35.21000	24.25000	29.12000	43.87000	26.75000	25.94000	30.99000	31.45000	18.44000	26.07000	32.75000	38.81000	35.49000	24.67000	
